Nom établissement,Adresse,Numéro de téléphone,Type d'établissement,Priorité,Propriétaire,SIREN
Laurette Et Marinette - Le Fournil Des Gourmandise,ET 1 ET 3 RUE PERROD 2 PLACE DES TAPIS 69004 LYON,,Boulangerie,3,Lina,803860907
Le Pernon Gourmand,45 RUE PERNON 69004 LYON,,Boulangerie,3,Lina,509903472
La Chouillate,2 PLACE DES TAPIS 69004 LYON,,Boulangerie,3,Lina,539125765
Le Moment D'Y Gouter,40 B QUAI JOSEPH GILLET 69004 LYON,,Boulangerie,3,Lina,893594119
Les Co'Pains D'Antan,13 RUE D'AUSTERLITZ 69004 LYON,,Boulangerie,3,Lina,881661904
L'Atelier Des Delices,8 RUE VICTOR FORT 69004 LYON,,Boulangerie,3,Lina,881885990
Partisan Boulanger,2 RUE DU CHARIOT D'OR 69004 LYON,,Boulangerie,3,Lina,797983947
Le Fournil Du Plateau,45 RUE PERNON 69004 LYON,,Boulangerie,3,Lina,982198137
Mchl,2 RUE DU CHARIOT D'OR 69004 LYON,,Boulangerie,3,Lina,943072843
La Qualite D'Or,41 RUE DE BELFORT 69004 LYON,,Boulangerie,3,Lina,943859041
Pop Boulangerie,60 RUE DE CUIRE 69004 LYON,,Boulangerie,3,Lina,930310248
Henri Et Sebastien Bouillet,15 PLACE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,441442191
Henri Et Sebastien Bouillet,3 RUE D'AUSTERLITZ 69004 LYON,,Boulangerie,3,Lina,441442191
Henri Et Sebastien Bouillet,16 PLACE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,441442191
Henri Et Sebastien Bouillet,161 BOULEVARD DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,441442191
Seve,10 RUE VICTOR FORT 69004 LYON,,Boulangerie,3,Lina,438648487
Pralus,3 GRANDE RUE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,800633620
Aux Merveilleux Lyon,161 BOULEVARD DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,811981620
Mariller Les Saveurs,24 PLACE DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,901006213
Oooh My Cake,23 RUE DU CHARIOT D'OR 69004 LYON,,Boulangerie,3,Lina,808713143
Chez Gregoire Patisserie Croix Rous,3 PL DU CDT ARNAUD 69004 LYON 4EME,,Boulangerie,3,Lina,847895919
Ds Saveurs,117 BOULEVARD DE LA CROIX-ROUSSE 69004 LYON,,Boulangerie,3,Lina,910241843
L'Instant,3 PLACE MARCEL BERTONE 69004 LYON,,Boulangerie,3,Lina,803897602
Bes'Cakes,23 RUE PAILLERON 69004 LYON,,Boulangerie,3,Lina,982363749
